<http://pkg.samsung.com/content#AudioFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"오디오 파일"
<http://pkg.samsung.com/content#ContentObject>,<http://www.w3.org/2000/01/rdf-schema#label>,"콘텐츠 파일"
<http://pkg.samsung.com/content#DocumentObject>,<http://www.w3.org/2000/01/rdf-schema#label>,"문서"
<http://pkg.samsung.com/content#Email>,<http://www.w3.org/2000/01/rdf-schema#label>,"이메일"
<http://pkg.samsung.com/content#FoodTag>,<http://www.w3.org/2000/01/rdf-schema#label>,"음식"
<http://pkg.samsung.com/content#FourWEvent>,<http://www.w3.org/2000/01/rdf-schema#label>,"일정"
<http://pkg.samsung.com/content#ImageFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"사진"
<http://pkg.samsung.com/content#IncomingCall>,<http://www.w3.org/2000/01/rdf-schema#label>,"수신 전화"
<http://pkg.samsung.com/content#Message>,<http://www.w3.org/2000/01/rdf-schema#label>,"메시지"
<http://pkg.samsung.com/content#MusicPlayback>,<http://www.w3.org/2000/01/rdf-schema#label>,"음악"
<http://pkg.samsung.com/content#OutgoingCall>,<http://www.w3.org/2000/01/rdf-schema#label>,"발신 전화"
<http://pkg.samsung.com/content#PresentationFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"프리젠테이션 파일"
<http://pkg.samsung.com/content#SheetFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"시트 파일"
<http://pkg.samsung.com/content#TextMessage>,<http://www.w3.org/2000/01/rdf-schema#label>,"문자 메시지"
<http://pkg.samsung.com/content#VideoPlayback>,<http://www.w3.org/2000/01/rdf-schema#label>,"비디오"
<http://pkg.samsung.com/content#WebPage>,<http://www.w3.org/2000/01/rdf-schema#label>,"웹페이지"
<http://pkg.samsung.com/content#WordFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"워드 파일"
<http://pkg.samsung.com/location#FrequentlyVisitedPlace>,<http://www.w3.org/2000/01/rdf-schema#label>,"자주 방문하는 곳"
<http://pkg.samsung.com/location#Home>,<http://www.w3.org/2000/01/rdf-schema#label>,"집"
<http://pkg.samsung.com/location#Location>,<http://www.w3.org/2000/01/rdf-schema#label>,"위치"
<http://pkg.samsung.com/location#Place>,<http://www.w3.org/2000/01/rdf-schema#label>,"장소"
<http://pkg.samsung.com/location#WorkPlace>,<http://www.w3.org/2000/01/rdf-schema#label>,"일터"
<http://pkg.samsung.com/relationship#hasBoyFriend>,<http://www.w3.org/2000/01/rdf-schema#label>,"남자 친구"
<http://pkg.samsung.com/relationship#hasBrother>,<http://www.w3.org/2000/01/rdf-schema#label>,"형제"
<http://pkg.samsung.com/relationship#hasChild>,<http://www.w3.org/2000/01/rdf-schema#label>,"자녀"
<http://pkg.samsung.com/relationship#hasDaughter>,<http://www.w3.org/2000/01/rdf-schema#label>,"딸"
<http://pkg.samsung.com/relationship#hasDaughterInLaw>,<http://www.w3.org/2000/01/rdf-schema#label>,"며느리"
<http://pkg.samsung.com/relationship#hasFamily>,<http://www.w3.org/2000/01/rdf-schema#label>,"가족"
<http://pkg.samsung.com/relationship#hasFather>,<http://www.w3.org/2000/01/rdf-schema#label>,"아버지"
<http://pkg.samsung.com/relationship#hasFatherInLawOfHusband>,<http://www.w3.org/2000/01/rdf-schema#label>,"시아버지"
<http://pkg.samsung.com/relationship#hasFatherInLawOfWife>,<http://www.w3.org/2000/01/rdf-schema#label>,"장인"
<http://pkg.samsung.com/relationship#hasFriend>,<http://www.w3.org/2000/01/rdf-schema#label>,"친구"
<http://pkg.samsung.com/relationship#hasGirlFriend>,<http://www.w3.org/2000/01/rdf-schema#label>,"여자 친구"
<http://pkg.samsung.com/relationship#hasGrandChild>,<http://www.w3.org/2000/01/rdf-schema#label>,"손주"
<http://pkg.samsung.com/relationship#hasGrandFather>,<http://www.w3.org/2000/01/rdf-schema#label>,"할아버지"
<http://pkg.samsung.com/relationship#hasGrandMother>,<http://www.w3.org/2000/01/rdf-schema#label>,"할머니"
<http://pkg.samsung.com/relationship#hasGrandParent>,<http://www.w3.org/2000/01/rdf-schema#label>,"조부모"
<http://pkg.samsung.com/relationship#hasGranddaughter>,<http://www.w3.org/2000/01/rdf-schema#label>,"손녀"
<http://pkg.samsung.com/relationship#hasGrandson>,<http://www.w3.org/2000/01/rdf-schema#label>,"손자"
<http://pkg.samsung.com/relationship#hasHusband>,<http://www.w3.org/2000/01/rdf-schema#label>,"남편"
<http://pkg.samsung.com/relationship#hasMaternalGrandfather>,<http://www.w3.org/2000/01/rdf-schema#label>,"외할아버지"
<http://pkg.samsung.com/relationship#hasMaternalGrandmother>,<http://www.w3.org/2000/01/rdf-schema#label>,"외할머니"
<http://pkg.samsung.com/relationship#hasMother>,<http://www.w3.org/2000/01/rdf-schema#label>,"어머니"
<http://pkg.samsung.com/relationship#hasMotherInLawOfHusband>,<http://www.w3.org/2000/01/rdf-schema#label>,"시어머니"
<http://pkg.samsung.com/relationship#hasMotherInLawOfWife>,<http://www.w3.org/2000/01/rdf-schema#label>,"장모"
<http://pkg.samsung.com/relationship#hasOlderBrotherOfFemale>,<http://www.w3.org/2000/01/rdf-schema#label>,"오빠"
<http://pkg.samsung.com/relationship#hasOlderBrotherOfMale>,<http://www.w3.org/2000/01/rdf-schema#label>,"형"
<http://pkg.samsung.com/relationship#hasOlderSisterOfFemale>,<http://www.w3.org/2000/01/rdf-schema#label>,"언니"
<http://pkg.samsung.com/relationship#hasOlderSisterOfMale>,<http://www.w3.org/2000/01/rdf-schema#label>,"누나"
<http://pkg.samsung.com/relationship#hasParent>,<http://www.w3.org/2000/01/rdf-schema#label>,"부모"
<http://pkg.samsung.com/relationship#hasPaternalGrandfather>,<http://www.w3.org/2000/01/rdf-schema#label>,"친할아버지"
<http://pkg.samsung.com/relationship#hasPaternalGrandmother>,<http://www.w3.org/2000/01/rdf-schema#label>,"친할머니"
<http://pkg.samsung.com/relationship#hasRelative>,<http://www.w3.org/2000/01/rdf-schema#label>,"친척"
<http://pkg.samsung.com/relationship#hasSister>,<http://www.w3.org/2000/01/rdf-schema#label>,"자매"
<http://pkg.samsung.com/relationship#hasSon>,<http://www.w3.org/2000/01/rdf-schema#label>,"아들"
<http://pkg.samsung.com/relationship#hasSonInLaw>,<http://www.w3.org/2000/01/rdf-schema#label>,"사위"
<http://pkg.samsung.com/relationship#hasSpouse>,<http://www.w3.org/2000/01/rdf-schema#label>,"부부"
<http://pkg.samsung.com/relationship#hasWife>,<http://www.w3.org/2000/01/rdf-schema#label>,"아내"
<http://pkg.samsung.com/relationship#hasYoungerBrother>,<http://www.w3.org/2000/01/rdf-schema#label>,"남동생"
<http://pkg.samsung.com/relationship#hasYoungerSister>,<http://www.w3.org/2000/01/rdf-schema#label>,"여동생"
<http://pkg.samsung.com/user#Booking>,<http://www.w3.org/2000/01/rdf-schema#label>,"예약"
<http://pkg.samsung.com/user#Eating>,<http://www.w3.org/2000/01/rdf-schema#label>,"식사"
<http://pkg.samsung.com/user#Engram>,<http://www.w3.org/2000/01/rdf-schema#label>,"엔그램"
<http://pkg.samsung.com/user#Exercising>,<http://www.w3.org/2000/01/rdf-schema#label>,"운동"
<http://pkg.samsung.com/user#GeneralEngram>,<http://www.w3.org/2000/01/rdf-schema#label>,"일반적 엔그램"
<http://pkg.samsung.com/user#ListeningToMusic>,<http://www.w3.org/2000/01/rdf-schema#label>,"음악 감상"
<http://pkg.samsung.com/user#Meeting>,<http://www.w3.org/2000/01/rdf-schema#label>,"만남"
<http://pkg.samsung.com/user#Moving>,<http://www.w3.org/2000/01/rdf-schema#label>,"이동"
<http://pkg.samsung.com/user#Paying>,<http://www.w3.org/2000/01/rdf-schema#label>,"결제"
<http://pkg.samsung.com/user#Person>,<http://www.w3.org/2000/01/rdf-schema#label>,"사람"
<http://pkg.samsung.com/user#PlayingGame>,<http://www.w3.org/2000/01/rdf-schema#label>,"게임"
<http://pkg.samsung.com/user#ScheduledTravel>,<http://www.w3.org/2000/01/rdf-schema#label>,"여행 일정"
<http://pkg.samsung.com/user#SharingContents>,<http://www.w3.org/2000/01/rdf-schema#label>,"컨텐츠 공유"
<http://pkg.samsung.com/user#Sleeping>,<http://www.w3.org/2000/01/rdf-schema#label>,"수면"
<http://pkg.samsung.com/user#SpeakingOnPhone>,<http://www.w3.org/2000/01/rdf-schema#label>,"전화 통화"
<http://pkg.samsung.com/user#SpecialEngram>,<http://www.w3.org/2000/01/rdf-schema#label>,"특별한 엔그램"
<http://pkg.samsung.com/user#Staying>,<http://www.w3.org/2000/01/rdf-schema#label>,"머뭄"
<http://pkg.samsung.com/user#StoringContents>,<http://www.w3.org/2000/01/rdf-schema#label>,"컨텐츠 저장"
<http://pkg.samsung.com/user#SurfingInternet>,<http://www.w3.org/2000/01/rdf-schema#label>,"인터넷 서핑"
<http://pkg.samsung.com/user#TakingPictures>,<http://www.w3.org/2000/01/rdf-schema#label>,"사진 촬영"
<http://pkg.samsung.com/user#TravelEngram>,<http://www.w3.org/2000/01/rdf-schema#label>,"여행"
<http://pkg.samsung.com/user#WatchingVideo>,<http://www.w3.org/2000/01/rdf-schema#label>,"비디오 감상"